class,neck_inclination,left_hip_angle,left_bicep_angle,right_hip_angle,right_bicep_angle,y1,x1,s1,y2,x2,s2,y3,x3,s3,y4,x4,s4,y5,x5,s5,y6,x6,s6,y7,x7,s7,y8,x8,s8,y9,x9,s9,y10,x10,s10,y11,x11,s11,y12,x12,s12,y13,x13,s13,y14,x14,s14,y15,x15,s15,y16,x16,s16,y17,x17,s17
hunched_roundshoulder,42.57693949806578,90.7046016315332,90.32988698101144,80.1646462128757,101.79506984255153,0.39116895,0.47136232,0.51134706,0.35117146,0.48202577,0.71058404,0.35525915,0.47632018,0.6334759,0.33270362,0.53492373,0.5634034,0.33602628,0.5279216,0.64502925,0.43090972,0.6258568,0.5702933,0.47716713,0.53878397,0.65747106,0.66423434,0.54314464,0.46377274,0.6113647,0.49221283,0.3616328,0.61242735,0.3942851,0.6634677,0.5997567,0.40214014,0.32004339,0.89945614,0.63878495,0.64622116,0.8590746,0.57526565,0.40027803,0.9088895,0.40238252,0.30690017,0.84588504,0.40301648,0.32510164,0.9160306,0.44908985,0.06810689,0.82155603,0.5313084,0.09352888
hunched_roundshoulder,43.42363061116744,91.9245553795675,90.84284784805774,82.4350762250688,105.95583666981571,0.38838515,0.4687667,0.566725,0.3506686,0.47779617,0.8033411,0.35499233,0.47317386,0.65024817,0.33232576,0.53194827,0.58577335,0.33570096,0.5257098,0.6258561,0.42926174,0.62441725,0.5955678,0.47721964,0.5407105,0.6301837,0.6637285,0.543349,0.4331873,0.610367,0.49534926,0.34748542,0.61477494,0.39472073,0.5717067,0.60595095,0.40687194,0.29140598,0.8883606,0.6354153,0.60893357,0.8556398,0.574984,0.3374835,0.9017126,0.40362903,0.33842447,0.84849215,0.40371457,0.33644986,0.915353,0.45139822,0.06044093,0.82243794,0.53062844,0.094041325
hunched_roundshoulder,43.89615565579674,82.06020812266182,89.11454361066689,73.38057448013888,104.61916181905504,0.40034622,0.4709514,0.5002466,0.36304933,0.47918597,0.5307217,0.36633527,0.47369552,0.4884292,0.3377444,0.53262633,0.63687634,0.34052655,0.5272264,0.63119394,0.43200517,0.62404776,0.5701954,0.47608632,0.53952354,0.58344406,0.6653812,0.54409736,0.44091687,0.61158705,0.4934958,0.32161954,0.61124325,0.39369044,0.5607029,0.60526127,0.40616056,0.2601876,0.9077801,0.6405081,0.6503198,0.8696329,0.579138,0.43267483,0.8830533,0.4035905,0.25995833,0.8356349,0.4021128,0.34169275,0.9197566,0.42383057,0.071619436,0.9110445,0.4780317,0.07490612
hunched_roundshoulder,45.16343342826983,94.22829622434278,89.30720275658544,93.20182807511657,107.77859923570435,0.4023423,0.4699327,0.5262296,0.3647164,0.47721863,0.57671404,0.3691582,0.4720238,0.46423694,0.3368555,0.5288877,0.6114918,0.3418679,0.5239694,0.62231225,0.42759293,0.6208939,0.6129559,0.47404265,0.53710634,0.70074797,0.66330683,0.54633486,0.5488766,0.6002337,0.49712425,0.34899879,0.61364377,0.39568764,0.5747297,0.6005614,0.4024981,0.33302155,0.88914865,0.6293756,0.57921565,0.8463122,0.5751448,0.41786072,0.9097025,0.4070134,0.37829185,0.87343067,0.40462074,0.3689719,0.9335929,0.46311393,0.0708306,0.9091608,0.47995296,0.09455789
hunched_roundshoulder,45.552393689637036,94.88322940347695,89.16525776525422,92.45821171979895,100.94757314014717,0.3969081,0.46847787,0.54538846,0.35688168,0.4757331,0.5528101,0.3640469,0.47096187,0.48883295,0.33449537,0.52888834,0.6180758,0.3393688,0.5237669,0.6451896,0.42417127,0.62106794,0.64933604,0.47231385,0.53663176,0.704405,0.6630464,0.54860103,0.5677228,0.61133146,0.50281286,0.32486108,0.61541706,0.39945585,0.5823464,0.60677075,0.4069991,0.34059218,0.8895602,0.6288798,0.55262053,0.84587616,0.574652,0.38022497,0.91222095,0.4075141,0.3582732,0.870602,0.4045314,0.36135542,0.9314,0.46379682,0.068193376,0.90789545,0.48116556,0.08994356
hunched_roundshoulder,45.50090842882327,91.49460863169355,89.66454459358216,93.93009016517999,107.42452222913087,0.39952648,0.4684004,0.53155226,0.36268866,0.47542,0.5295329,0.36663434,0.47078356,0.46652067,0.3364156,0.5278272,0.6083207,0.34075993,0.5231189,0.61739826,0.42564118,0.6193783,0.6653866,0.47167844,0.5373306,0.6827267,0.66162014,0.5480533,0.6070016,0.5993866,0.49977943,0.30091992,0.6164267,0.40163165,0.59955543,0.6011034,0.40512443,0.33694708,0.90219843,0.62918985,0.5812994,0.84685683,0.5678815,0.4104728,0.9124526,0.40963793,0.41578624,0.8716744,0.40349993,0.3795786,0.93383217,0.46397495,0.07714015,0.9109242,0.480681,0.08999613
hunched_roundshoulder,45.14819047826219,95.37128740080936,88.76273422689786,89.69034586054295,106.73554738717334,0.39641684,0.46730667,0.50968665,0.3555854,0.47497082,0.5528945,0.3645943,0.46899366,0.5745451,0.33290717,0.52920794,0.6131471,0.33977568,0.51905257,0.6404115,0.4211465,0.6186333,0.63812816,0.46948573,0.5359632,0.7208329,0.6615099,0.5485383,0.6241615,0.6002151,0.5030605,0.30878642,0.61628467,0.40505907,0.6104834,0.6044094,0.41099498,0.36947605,0.88818645,0.62751096,0.56444883,0.8459387,0.5663337,0.4310837,0.9132172,0.4064562,0.35988575,0.85818875,0.40351605,0.36536217,0.9307053,0.46210104,0.074790664,0.9074546,0.47872996,0.08934166
hunched_roundshoulder,44.84223360227771,89.91637048055702,88.78554705872571,87.72762270064811,97.61253520240251,0.39914784,0.4672524,0.539549,0.36073765,0.4754044,0.5171562,0.36671567,0.4689416,0.5568668,0.3325128,0.5280324,0.58190274,0.34045762,0.51834136,0.6418527,0.42100352,0.6167549,0.596227,0.47034296,0.53316915,0.7190405,0.65938264,0.54757583,0.6046762,0.61092556,0.5074071,0.3153709,0.6140872,0.4030159,0.60845935,0.60617405,0.40926608,0.3512239,0.9037343,0.6300262,0.5636611,0.8636865,0.56771797,0.42243835,0.9095665,0.40598282,0.2921926,0.8715376,0.404102,0.38626182,0.93042463,0.46263763,0.064560264,0.9037639,0.4947384,0.073182985
hunched_roundshoulder,45.06680678729749,95.09690504147164,88.71857022372457,93.30373449753313,106.28030161861366,0.39792594,0.46604148,0.53486705,0.3607018,0.47429332,0.51147527,0.36652702,0.4684305,0.5637473,0.332317,0.52591246,0.54481465,0.339902,0.5184036,0.65282774,0.42083228,0.61536163,0.6164055,0.47137126,0.5341677,0.7287795,0.66103333,0.548027,0.61587006,0.6009489,0.5025838,0.32166746,0.6164696,0.40172705,0.57239443,0.6051715,0.40894136,0.39147624,0.88850605,0.6272406,0.5859104,0.847572,0.56599957,0.42277896,0.91301316,0.4138635,0.3431596,0.87072814,0.40411106,0.36831355,0.9295406,0.47446236,0.066140585,0.9050075,0.494201,0.08191706
hunched_roundshoulder,46.20687439902368,89.87552594932038,89.0609676068173,86.97990823182846,96.55320018289022,0.39709586,0.46496907,0.49818808,0.35679087,0.4726785,0.48736766,0.36505657,0.46751127,0.5893184,0.33547628,0.52607524,0.5461562,0.33844563,0.5184016,0.6266427,0.4207155,0.6157313,0.61141455,0.47139943,0.53379357,0.720341,0.65963674,0.54690224,0.67526823,0.6105744,0.51231503,0.29021057,0.6157625,0.40348378,0.6181978,0.60656476,0.40887713,0.35493362,0.90431565,0.63037497,0.57090914,0.8650309,0.56871253,0.40862152,0.91041964,0.41319868,0.28250825,0.87092006,0.40413147,0.34970725,0.9269106,0.4734099,0.058669787,0.90467477,0.49352288,0.06932211
