,school,high_school_gpa_middle_range,gpa_25th_percentile,gpa_75th_percentile
0,University of California Berkeley,4.12-4.30,4.12,4.3
1,University of California Davis,3.95-4.25,3.95,4.25
2,University of California Irvine,3.96-4.26,3.96,4.26
3,University of California Los Angeles,4.19-4.32,4.19,4.32
4,University of California Merced,3.39-4.00,3.39,4.0
5,University of California Riverside,3.7-4.13,3.7,4.13
6,University of California San Diego,4.07-4.29,4.07,4.29
7,University of California Santa Barbara,4.10-4.29,4.1,4.29
8,University of California Santa Cruz,3.81-4.20,3.81,4.2
